city,transmission,owner_no,brand,model,model_year,variant_name,price,registered_year,fuel_type,kms_driven,engine_cc,mileage_kmpl,car_age,mileage_normalized,brand_popularity,age_group,high_mileage
hyderabad,manual,1,maruti,maruti vitara brezza,2019,zdi,840000.0,2019,diesel,60000,1248,24.3,5,4.86,504649.26094808127,mid-age,1
hyderabad,manual,2,maruti,maruti swift,2013,vdi,426000.0,2013,diesel,89197,1248,22.9,11,2.0818181818181816,504649.26094808127,old,1
hyderabad,manual,1,datsun,datsun redigo,2020,a,305000.0,2020,petrol,30000,799,22.7,4,5.675,347810.8108108108,mid-age,1
hyderabad,manual,1,hyundai,hyundai i20,2018,1.2 spotz,629000.0,2018,petrol,70000,1197,18.6,6,3.1,605200.0006153847,mid-age,0
hyderabad,automatic,1,maruti,maruti baleno,2021,zeta cvt,869000.0,2021,petrol,28700,1197,19.56,3,6.52,504649.26094808127,mid-age,0
hyderabad,automatic,2,volkswagen,volkswagen virtus,2022,topline at bsvi,1850000.0,2022,petrol,20000,999,18.12,2,9.06,703303.886925795,new,0
hyderabad,manual,1,hyundai,hyundai i10,2012,asta,300000.0,2012,petrol,91629,1197,20.36,12,1.6966666666666665,605200.0006153847,old,0
hyderabad,manual,1,ford,ford freestyle,2021,titanium diesel,850000.0,2021,diesel,30000,1499,23.8,3,7.933333333333334,730169.9346405229,mid-age,1
hyderabad,manual,1,maruti,maruti baleno,2022,alpha,869999.9999999999,2022,petrol,7058,1197,21.01,2,10.505,504649.26094808127,new,0
hyderabad,automatic,1,maruti,maruti swift dzire,2017,amt zdi,775000.0,2017,diesel,86500,1248,28.4,7,4.057142857142857,504649.26094808127,mid-age,1
hyderabad,manual,2,honda,honda amaze,2015,s i-vtech,416000.0,2015,petrol,76438,1198,18.0,9,2.0,624483.4192037471,old,0
hyderabad,manual,2,hyundai,hyundai creta,2017,1.6 vtvt sx plus,1025000.0,2017,petrol,24489,1591,13.0,7,1.8571428571428572,605200.0006153847,mid-age,0
hyderabad,automatic,1,maruti,maruti swift,2022,vxi amt bsvi,790000.0,2022,petrol,20000,1197,22.56,2,11.28,504649.26094808127,new,1
hyderabad,manual,1,hyundai,hyundai verna,2017,1.6 crdi sx option,855000.0000000001,2017,diesel,110600,1582,23.9,7,3.414285714285714,605200.0006153847,mid-age,1
hyderabad,manual,2,maruti,maruti baleno,2019,1.2 delta,649000.0,2020,petrol,63840,1197,21.4,4,5.35,504649.26094808127,mid-age,0
hyderabad,manual,1,hyundai,hyundai i10,2009,magna,230000.0,2009,petrol,74000,1197,20.36,15,1.3573333333333333,605200.0006153847,old,0
hyderabad,manual,1,tata,tata tiago,2021,xt bsvi,599000.0,2021,petrol,21314,1199,19.01,3,6.336666666666667,748643.1780487805,mid-age,0
hyderabad,automatic,1,hyundai,hyundai verna,2017,crdi 1.6 at ex,900000.0,2018,diesel,40007,1582,18.0,6,3.0,605200.0006153847,mid-age,0
hyderabad,manual,2,maruti,maruti swift dzire,2015,vdi,622000.0,2015,diesel,89997,1248,26.59,9,2.9544444444444444,504649.26094808127,old,1
hyderabad,manual,1,honda,honda brio,2014,s mt,362000.0,2014,petrol,64736,1198,19.4,10,1.94,624483.4192037471,old,0
hyderabad,automatic,1,audi,audi q3,2013,35 tdi quattro premium plus,1295000.0,2013,diesel,105000,1968,15.73,11,1.43,2350864.5161290322,old,0
hyderabad,manual,1,maruti,maruti sx4 s cross,2020,alpha,964000.0,2021,petrol,40687,1462,18.55,3,6.183333333333334,504649.26094808127,mid-age,0
hyderabad,automatic,2,ford,ford fiesta,2012,style at,395000.0,2013,petrol,33000,1499,16.97,11,1.5427272727272727,730169.9346405229,old,0
hyderabad,automatic,1,maruti,maruti celerio,2016,vxi at,460000.0,2017,petrol,57000,998,23.1,7,3.3000000000000003,504649.26094808127,mid-age,1
hyderabad,manual,2,toyota,toyota innova,2006,2.5 g1 diesel 8-seater,400000.0,2006,diesel,120000,2494,12.8,18,0.7111111111111111,1282850.0,old,0
hyderabad,manual,1,kia,kia seltos,2019,htx plus diesel,1325000.0,2019,diesel,88000,1493,20.8,5,4.16,1451064.5161290322,mid-age,0
hyderabad,manual,3,hyundai,hyundai i10,2009,sportz 1.2,215000.0,2009,petrol,80000,1197,20.36,15,1.3573333333333333,605200.0006153847,old,0
hyderabad,manual,1,hyundai,hyundai venue,2020,sx turbo imt,1050000.0,2020,petrol,49500,998,18.0,4,4.5,605200.0006153847,mid-age,0
hyderabad,manual,1,renault,renault kwid,2020,1.0 rxl bsvi,465000.00000000006,2020,petrol,15985,999,21.46,4,5.365,536132.6860841424,mid-age,1
hyderabad,manual,2,honda,honda city,2015,i vtec v,574000.0,2015,petrol,85871,1497,17.4,9,1.9333333333333331,624483.4192037471,old,0
hyderabad,manual,1,hyundai,hyundai i10,2012,sportz,295000.0,2012,petrol,73665,1197,20.36,12,1.6966666666666665,605200.0006153847,old,0
hyderabad,automatic,1,land rover,land rover range rover,2020,3.0 petrol lwb vogue se bsiv,2600000.0,2021,petrol,31614,2995,13.33,3,4.443333333333333,4141256.4102564105,mid-age,0
hyderabad,manual,1,tata,tata tigor,2021,xz plus bsvi,707000.0,2021,petrol,70380,1199,19.28,3,6.426666666666667,748643.1780487805,mid-age,0
hyderabad,manual,1,hyundai,hyundai i20,2016,asta 1.2,605000.0,2016,petrol,73202,1197,18.6,8,2.325,605200.0006153847,old,0
